O*NET-SOC Code,Title,Artistic,Conventional,Enterprising,First Interest High-Point,Investigative,Realistic,Second Interest High-Point,Social,Third Interest High-Point,Occupation,Job Family
27-1026.00,Merchandise Displayers and Window Trimmers,4.85,3.0,4.21,3.0,1.61,4.44,1.0,2.21,5.0,Merchandise Displayers and Window Trimmers,"Arts, Design, Entertainment, Sports, and Media"
27-1027.00,Set and Exhibit Designers,7.0,3.28,3.91,3.0,2.85,3.56,0.0,3.08,0.0,Set and Exhibit Designers,"Arts, Design, Entertainment, Sports, and Media"
27-2011.00,Actors,7.0,1.67,4.0,3.0,2.13,2.31,4.0,4.1,5.0,Actors,"Arts, Design, Entertainment, Sports, and Media"
27-2012.00,Producers and Directors,6.15,3.55,5.78,3.0,2.23,2.14,5.0,3.13,0.0,Producers and Directors,"Arts, Design, Entertainment, Sports, and Media"
27-2012.03,Media Programming Directors,3.92,4.74,6.75,5.0,2.22,1.28,6.0,3.71,3.0,Media Programming Directors,"Arts, Design, Entertainment, Sports, and Media"
27-2012.04,Talent Directors,5.73,3.51,5.98,5.0,1.41,1.25,3.0,4.33,4.0,Talent Directors,"Arts, Design, Entertainment, Sports, and Media"
27-2012.05,Media Technical Directors/Managers,3.49,4.35,4.94,5.0,2.72,3.93,6.0,2.55,1.0,Media Technical Directors/Managers,"Arts, Design, Entertainment, Sports, and Media"
27-2021.00,Athletes and Sports Competitors,2.22,2.88,4.51,1.0,1.58,5.0,5.0,4.38,4.0,Athletes and Sports Competitors,"Arts, Design, Entertainment, Sports, and Media"
27-2022.00,Coaches and Scouts,2.43,3.44,5.13,4.0,2.15,4.26,5.0,5.31,1.0,Coaches and Scouts,"Arts, Design, Entertainment, Sports, and Media"
27-2023.00,"Umpires, Referees, and Other Sports Officials",1.09,4.64,5.69,5.0,1.65,4.38,6.0,3.34,1.0,"Umpires, Referees, and Other Sports Officials","Arts, Design, Entertainment, Sports, and Media"
27-2031.00,Dancers,6.32,1.66,3.25,3.0,1.4,4.78,1.0,3.68,4.0,Dancers,"Arts, Design, Entertainment, Sports, and Media"
27-2032.00,Choreographers,7.0,1.88,3.8,3.0,2.08,3.67,4.0,4.08,0.0,Choreographers,"Arts, Design, Entertainment, Sports, and Media"
27-2041.00,Music Directors and Composers,7.0,2.59,4.77,3.0,2.28,2.04,5.0,3.06,0.0,Music Directors and Composers,"Arts, Design, Entertainment, Sports, and Media"
27-2042.00,Musicians and Singers,6.66,2.17,3.41,3.0,1.53,2.87,5.0,3.4,0.0,Musicians and Singers,"Arts, Design, Entertainment, Sports, and Media"
27-2091.00,"Disc Jockeys, Except Radio",4.83,3.5,3.62,3.0,1.53,2.94,5.0,2.96,6.0,"Disc Jockeys, Except Radio","Arts, Design, Entertainment, Sports, and Media"
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,5.55,3.15,4.48,3.0,1.98,1.72,5.0,3.5,4.0,Broadcast Announcers and Radio Disc Jockeys,"Arts, Design, Entertainment, Sports, and Media"
27-3023.00,"News Analysts, Reporters, and Journalists",5.09,3.63,3.96,3.0,4.16,1.47,2.0,2.8,5.0,"News Analysts, Reporters, and Journalists","Arts, Design, Entertainment, Sports, and Media"
27-3031.00,Public Relations Specialists,4.72,3.47,5.81,5.0,2.79,1.0,3.0,3.94,4.0,Public Relations Specialists,"Arts, Design, Entertainment, Sports, and Media"
27-3041.00,Editors,5.16,4.85,4.03,3.0,3.11,1.0,6.0,2.51,5.0,Editors,"Arts, Design, Entertainment, Sports, and Media"
27-3042.00,Technical Writers,4.22,5.33,1.99,6.0,3.7,2.81,3.0,2.0,2.0,Technical Writers,"Arts, Design, Entertainment, Sports, and Media"
27-3043.00,Writers and Authors,6.93,3.18,4.8,3.0,3.26,1.0,5.0,2.84,0.0,Writers and Authors,"Arts, Design, Entertainment, Sports, and Media"
27-3043.05,"Poets, Lyricists and Creative Writers",7.0,2.84,3.09,3.0,3.83,1.37,2.0,2.75,0.0,"Poets, Lyricists and Creative Writers","Arts, Design, Entertainment, Sports, and Media"
27-3091.00,Interpreters and Translators,4.4,4.64,1.88,6.0,3.16,1.89,3.0,3.51,4.0,Interpreters and Translators,"Arts, Design, Entertainment, Sports, and Media"
27-3092.00,Court Reporters and Simultaneous Captioners,2.96,5.61,2.67,6.0,2.11,2.24,0.0,2.88,0.0,Court Reporters and Simultaneous Captioners,"Arts, Design, Entertainment, Sports, and Media"
27-4011.00,Audio and Video Technicians,3.25,4.58,1.88,1.0,2.75,5.17,6.0,1.98,0.0,Audio and Video Technicians,"Arts, Design, Entertainment, Sports, and Media"
27-4012.00,Broadcast Technicians,2.79,4.98,2.44,6.0,3.1,4.94,1.0,2.14,0.0,Broadcast Technicians,"Arts, Design, Entertainment, Sports, and Media"
27-4014.00,Sound Engineering Technicians,4.44,4.26,1.92,1.0,2.6,5.04,3.0,1.79,6.0,Sound Engineering Technicians,"Arts, Design, Entertainment, Sports, and Media"
27-4015.00,Lighting Technicians,2.39,4.07,1.91,1.0,2.02,6.99,6.0,1.18,0.0,Lighting Technicians,"Arts, Design, Entertainment, Sports, and Media"
27-4021.00,Photographers,5.18,3.43,2.3,1.0,2.29,5.49,3.0,1.85,0.0,Photographers,"Arts, Design, Entertainment, Sports, and Media"
27-4031.00,"Camera Operators, Television, Video, and Film",5.25,3.5,2.34,3.0,1.97,4.77,1.0,1.84,6.0,"Camera Operators, Television, Video, and Film","Arts, Design, Entertainment, Sports, and Media"
27-4032.00,Film and Video Editors,5.45,3.99,2.98,3.0,1.97,3.27,6.0,1.87,0.0,Film and Video Editors,"Arts, Design, Entertainment, Sports, and Media"
29-1011.00,Chiropractors,1.35,3.53,2.23,4.0,5.06,5.19,1.0,5.73,2.0,Chiropractors,Healthcare Practitioners and Technical
29-1021.00,"Dentists, General",1.15,3.85,1.95,2.0,5.4,5.31,1.0,4.27,4.0,"Dentists, General",Healthcare Practitioners and Technical
29-1022.00,Oral and Maxillofacial Surgeons,1.22,3.63,2.2,2.0,5.91,5.6,1.0,4.47,4.0,Oral and Maxillofacial Surgeons,Healthcare Practitioners and Technical
29-1023.00,Orthodontists,1.67,4.75,1.28,2.0,5.84,5.8,1.0,3.94,6.0,Orthodontists,Healthcare Practitioners and Technical
29-1024.00,Prosthodontists,1.68,3.41,1.56,1.0,5.63,6.16,2.0,4.45,4.0,Prosthodontists,Healthcare Practitioners and Technical
29-1031.00,Dietitians and Nutritionists,2.4,3.36,3.42,4.0,4.8,3.03,2.0,5.5,0.0,Dietitians and Nutritionists,Healthcare Practitioners and Technical
29-1041.00,Optometrists,1.6,3.92,2.27,2.0,5.78,4.8,4.0,5.02,1.0,Optometrists,Healthcare Practitioners and Technical
29-1051.00,Pharmacists,1.48,4.68,2.53,2.0,5.65,2.88,4.0,4.81,6.0,Pharmacists,Healthcare Practitioners and Technical
29-1071.00,Physician Assistants,1.23,4.56,2.07,4.0,4.98,3.79,2.0,5.81,6.0,Physician Assistants,Healthcare Practitioners and Technical
29-1071.01,Anesthesiologist Assistants,1.0,4.76,1.87,4.0,4.71,4.55,6.0,5.0,2.0,Anesthesiologist Assistants,Healthcare Practitioners and Technical
29-1081.00,Podiatrists,1.77,3.17,2.17,2.0,5.69,5.22,1.0,5.06,4.0,Podiatrists,Healthcare Practitioners and Technical
29-1122.00,Occupational Therapists,3.05,3.06,1.81,4.0,4.34,3.48,2.0,6.13,0.0,Occupational Therapists,Healthcare Practitioners and Technical
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",3.2,2.83,2.12,4.0,3.89,3.93,1.0,6.52,2.0,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Healthcare Practitioners and Technical
29-1123.00,Physical Therapists,2.17,3.08,2.49,4.0,4.87,4.34,2.0,5.91,1.0,Physical Therapists,Healthcare Practitioners and Technical
29-1124.00,Radiation Therapists,1.23,4.52,1.73,1.0,4.64,4.88,4.0,4.75,2.0,Radiation Therapists,Healthcare Practitioners and Technical
29-1125.00,Recreational Therapists,3.03,2.5,2.52,4.0,4.17,3.82,2.0,6.86,0.0,Recreational Therapists,Healthcare Practitioners and Technical
29-1126.00,Respiratory Therapists,1.0,3.84,1.72,4.0,4.81,4.92,1.0,5.05,2.0,Respiratory Therapists,Healthcare Practitioners and Technical
29-1127.00,Speech-Language Pathologists,2.97,4.03,1.43,4.0,5.63,2.69,2.0,5.91,6.0,Speech-Language Pathologists,Healthcare Practitioners and Technical
29-1128.00,Exercise Physiologists,1.68,3.52,3.07,1.0,4.87,5.06,2.0,4.82,4.0,Exercise Physiologists,Healthcare Practitioners and Technical
29-1129.01,Art Therapists,5.81,2.49,2.33,4.0,3.37,2.98,3.0,5.86,0.0,Art Therapists,Healthcare Practitioners and Technical
29-1129.02,Music Therapists,5.16,2.88,2.56,4.0,3.86,2.16,3.0,5.52,2.0,Music Therapists,Healthcare Practitioners and Technical
29-1131.00,Veterinarians,1.0,3.52,1.71,1.0,5.94,5.97,2.0,3.43,0.0,Veterinarians,Healthcare Practitioners and Technical
29-1141.00,Registered Nurses,1.31,4.58,2.28,4.0,4.82,3.66,2.0,5.62,6.0,Registered Nurses,Healthcare Practitioners and Technical
29-1141.01,Acute Care Nurses,1.48,3.49,1.62,4.0,5.41,4.04,2.0,5.87,1.0,Acute Care Nurses,Healthcare Practitioners and Technical
29-1141.02,Advanced Practice Psychiatric Nurses,2.62,3.84,1.83,2.0,5.92,2.74,4.0,5.89,0.0,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical
29-1141.03,Critical Care Nurses,1.58,3.92,2.07,4.0,5.07,4.1,2.0,5.5,1.0,Critical Care Nurses,Healthcare Practitioners and Technical
29-1141.04,Clinical Nurse Specialists,1.71,4.21,3.92,4.0,4.97,2.42,2.0,6.09,6.0,Clinical Nurse Specialists,Healthcare Practitioners and Technical
29-1151.00,Nurse Anesthetists,1.0,4.25,1.92,4.0,4.94,5.0,1.0,5.18,2.0,Nurse Anesthetists,Healthcare Practitioners and Technical
29-1161.00,Nurse Midwives,1.91,3.41,2.92,4.0,4.33,3.42,2.0,5.85,0.0,Nurse Midwives,Healthcare Practitioners and Technical
29-1171.00,Nurse Practitioners,1.31,4.28,2.13,2.0,5.52,3.67,4.0,5.36,6.0,Nurse Practitioners,Healthcare Practitioners and Technical
29-1181.00,Audiologists,2.13,4.16,1.61,2.0,6.03,4.09,4.0,5.76,6.0,Audiologists,Healthcare Practitioners and Technical
29-1211.00,Anesthesiologists,1.13,3.95,2.48,2.0,5.77,5.13,4.0,5.22,1.0,Anesthesiologists,Healthcare Practitioners and Technical
29-1212.00,Cardiologists,1.16,4.01,2.3,2.0,6.86,4.97,1.0,4.73,4.0,Cardiologists,Healthcare Practitioners and Technical
29-1213.00,Dermatologists,1.76,3.65,1.76,2.0,6.29,5.55,1.0,4.29,4.0,Dermatologists,Healthcare Practitioners and Technical
29-1214.00,Emergency Medicine Physicians,1.0,4.18,2.74,2.0,5.64,4.18,4.0,5.56,6.0,Emergency Medicine Physicians,Healthcare Practitioners and Technical
29-1215.00,Family Medicine Physicians,1.45,3.95,2.34,4.0,6.08,3.75,2.0,6.21,0.0,Family Medicine Physicians,Healthcare Practitioners and Technical
29-1216.00,General Internal Medicine Physicians,1.42,3.66,2.11,2.0,6.83,4.38,4.0,6.13,1.0,General Internal Medicine Physicians,Healthcare Practitioners and Technical
29-1217.00,Neurologists,2.09,3.63,2.42,2.0,7.0,3.91,4.0,5.32,0.0,Neurologists,Healthcare Practitioners and Technical
29-1218.00,Obstetricians and Gynecologists,1.34,4.14,2.61,2.0,5.41,4.57,4.0,5.4,1.0,Obstetricians and Gynecologists,Healthcare Practitioners and Technical
29-1221.00,"Pediatricians, General",1.77,3.53,2.49,4.0,6.2,3.76,2.0,6.63,0.0,"Pediatricians, General",Healthcare Practitioners and Technical
29-1222.00,"Physicians, Pathologists",1.2,4.57,1.4,2.0,7.0,5.36,1.0,3.46,6.0,"Physicians, Pathologists",Healthcare Practitioners and Technical
29-1223.00,Psychiatrists,2.72,3.9,2.12,2.0,6.37,2.14,4.0,5.98,0.0,Psychiatrists,Healthcare Practitioners and Technical
29-1224.00,Radiologists,1.19,4.8,2.14,2.0,6.6,4.76,6.0,3.91,1.0,Radiologists,Healthcare Practitioners and Technical
29-1229.01,Allergists and Immunologists,1.68,3.54,2.23,2.0,6.92,4.09,4.0,5.1,1.0,Allergists and Immunologists,Healthcare Practitioners and Technical
29-1229.02,Hospitalists,1.55,4.15,3.14,4.0,4.68,3.63,2.0,6.05,6.0,Hospitalists,Healthcare Practitioners and Technical
29-1229.03,Urologists,1.23,3.42,2.31,2.0,6.9,5.16,1.0,5.16,4.0,Urologists,Healthcare Practitioners and Technical
29-1229.04,Physical Medicine and Rehabilitation Physicians,2.02,2.98,1.71,2.0,6.36,4.55,4.0,5.97,1.0,Physical Medicine and Rehabilitation Physicians,Healthcare Practitioners and Technical
29-1229.05,Preventive Medicine Physicians,1.84,3.34,2.36,2.0,6.82,3.28,4.0,5.39,0.0,Preventive Medicine Physicians,Healthcare Practitioners and Technical
29-1229.06,Sports Medicine Physicians,1.26,3.48,3.29,2.0,5.49,5.07,4.0,5.26,1.0,Sports Medicine Physicians,Healthcare Practitioners and Technical
29-1241.00,"Ophthalmologists, Except Pediatric",1.62,3.72,2.86,2.0,6.33,4.78,4.0,5.28,1.0,"Ophthalmologists, Except Pediatric",Healthcare Practitioners and Technical
29-1242.00,"Orthopedic Surgeons, Except Pediatric",1.48,3.89,2.35,2.0,6.5,5.07,1.0,4.82,4.0,"Orthopedic Surgeons, Except Pediatric",Healthcare Practitioners and Technical
29-1243.00,Pediatric Surgeons,1.55,3.91,2.43,2.0,6.52,4.95,4.0,4.99,1.0,Pediatric Surgeons,Healthcare Practitioners and Technical
29-1291.00,Acupuncturists,2.12,3.11,1.77,4.0,5.32,4.6,2.0,5.7,1.0,Acupuncturists,Healthcare Practitioners and Technical
29-1292.00,Dental Hygienists,1.18,4.29,1.67,4.0,4.68,5.14,1.0,5.46,2.0,Dental Hygienists,Healthcare Practitioners and Technical
29-1299.01,Naturopathic Physicians,1.92,3.58,1.99,2.0,5.93,4.14,4.0,5.78,1.0,Naturopathic Physicians,Healthcare Practitioners and Technical
29-1299.02,Orthoptists,2.06,3.81,1.64,2.0,5.57,4.68,1.0,4.65,4.0,Orthoptists,Healthcare Practitioners and Technical
29-2011.00,Medical and Clinical Laboratory Technologists,1.11,4.99,1.55,2.0,6.17,5.78,1.0,2.8,6.0,Medical and Clinical Laboratory Technologists,Healthcare Practitioners and Technical
29-2011.01,Cytogenetic Technologists,1.47,5.07,1.55,2.0,5.96,5.37,1.0,1.89,6.0,Cytogenetic Technologists,Healthcare Practitioners and Technical
29-2011.02,Cytotechnologists,1.15,4.87,1.77,2.0,6.11,5.86,1.0,2.54,6.0,Cytotechnologists,Healthcare Practitioners and Technical
29-2011.04,Histotechnologists,1.21,5.21,1.07,2.0,6.62,5.79,1.0,2.78,6.0,Histotechnologists,Healthcare Practitioners and Technical
29-2012.00,Medical and Clinical Laboratory Technicians,1.0,4.86,1.0,1.0,5.87,6.02,2.0,2.86,6.0,Medical and Clinical Laboratory Technicians,Healthcare Practitioners and Technical
29-2012.01,Histology Technicians,1.27,5.12,1.0,1.0,5.4,6.45,2.0,2.13,6.0,Histology Technicians,Healthcare Practitioners and Technical
29-2031.00,Cardiovascular Technologists and Technicians,1.0,4.62,1.33,1.0,5.39,5.51,2.0,4.27,6.0,Cardiovascular Technologists and Technicians,Healthcare Practitioners and Technical
29-2032.00,Diagnostic Medical Sonographers,1.17,5.14,1.51,1.0,4.71,5.96,6.0,4.15,2.0,Diagnostic Medical Sonographers,Healthcare Practitioners and Technical
29-2033.00,Nuclear Medicine Technologists,1.0,5.2,1.31,1.0,5.57,5.99,2.0,3.08,6.0,Nuclear Medicine Technologists,Healthcare Practitioners and Technical
29-2034.00,Radiologic Technologists and Technicians,1.0,4.87,1.0,1.0,4.63,6.25,6.0,3.58,2.0,Radiologic Technologists and Technicians,Healthcare Practitioners and Technical
29-2035.00,Magnetic Resonance Imaging Technologists,1.0,4.93,1.24,1.0,4.71,5.41,6.0,3.42,2.0,Magnetic Resonance Imaging Technologists,Healthcare Practitioners and Technical
29-2036.00,Medical Dosimetrists,1.38,4.94,2.12,2.0,5.24,4.47,6.0,3.68,1.0,Medical Dosimetrists,Healthcare Practitioners and Technical
29-2042.00,Emergency Medical Technicians,1.0,3.82,1.54,4.0,4.55,5.45,1.0,5.59,2.0,Emergency Medical Technicians,Healthcare Practitioners and Technical
29-2043.00,Paramedics,1.0,3.44,1.85,4.0,5.04,5.24,1.0,5.47,2.0,Paramedics,Healthcare Practitioners and Technical
29-2051.00,Dietetic Technicians,2.45,3.68,2.46,4.0,3.46,3.84,1.0,5.34,6.0,Dietetic Technicians,Healthcare Practitioners and Technical
29-2052.00,Pharmacy Technicians,1.0,7.0,2.55,6.0,3.13,4.06,1.0,3.36,0.0,Pharmacy Technicians,Healthcare Practitioners and Technical
29-2053.00,Psychiatric Technicians,2.09,3.63,1.38,4.0,4.63,3.43,2.0,6.71,0.0,Psychiatric Technicians,Healthcare Practitioners and Technical
29-2055.00,Surgical Technologists,1.0,4.85,1.61,1.0,3.22,6.26,6.0,3.82,4.0,Surgical Technologists,Healthcare Practitioners and Technical
29-2056.00,Veterinary Technologists and Technicians,1.0,4.56,1.0,1.0,5.26,6.71,2.0,3.02,6.0,Veterinary Technologists and Technicians,Healthcare Practitioners and Technical
29-2057.00,Ophthalmic Medical Technicians,1.0,4.81,1.64,1.0,4.76,5.37,6.0,4.47,2.0,Ophthalmic Medical Technicians,Healthcare Practitioners and Technical
29-2061.00,Licensed Practical and Licensed Vocational Nurses,1.07,4.57,2.13,4.0,3.67,4.58,1.0,5.51,6.0,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical
29-2072.00,Medical Records Specialists,1.0,6.97,1.88,6.0,4.33,2.86,2.0,3.38,0.0,Medical Records Specialists,Healthcare Practitioners and Technical
29-2081.00,"Opticians, Dispensing",1.44,5.48,3.27,6.0,2.23,4.31,1.0,3.03,0.0,"Opticians, Dispensing",Healthcare Practitioners and Technical
29-2091.00,Orthotists and Prosthetists,2.15,3.6,1.59,1.0,5.1,5.77,2.0,4.43,4.0,Orthotists and Prosthetists,Healthcare Practitioners and Technical
29-2092.00,Hearing Aid Specialists,1.79,4.21,1.81,4.0,4.37,3.67,2.0,4.74,6.0,Hearing Aid Specialists,Healthcare Practitioners and Technical
29-2099.01,Neurodiagnostic Technologists,1.47,4.54,1.32,2.0,5.7,5.28,1.0,3.58,6.0,Neurodiagnostic Technologists,Healthcare Practitioners and Technical
29-2099.05,Ophthalmic Medical Technologists,1.19,4.68,2.01,1.0,4.72,5.43,2.0,4.3,6.0,Ophthalmic Medical Technologists,Healthcare Practitioners and Technical
29-2099.08,Patient Representatives,1.58,3.72,3.07,4.0,4.05,1.29,2.0,6.74,6.0,Patient Representatives,Healthcare Practitioners and Technical
29-9021.00,Health Information Technologists and Medical Registrars,1.19,5.96,2.2,6.0,5.18,2.48,2.0,3.8,4.0,Health Information Technologists and Medical Registrars,Healthcare Practitioners and Technical
29-9091.00,Athletic Trainers,1.09,3.32,2.27,4.0,4.39,5.54,1.0,5.7,2.0,Athletic Trainers,Healthcare Practitioners and Technical
29-9092.00,Genetic Counselors,2.34,3.89,2.73,2.0,5.86,1.66,4.0,5.45,6.0,Genetic Counselors,Healthcare Practitioners and Technical
29-9093.00,Surgical Assistants,1.0,4.44,1.76,1.0,3.47,5.7,6.0,3.83,4.0,Surgical Assistants,Healthcare Practitioners and Technical
29-9099.01,Midwives,1.78,3.57,2.69,4.0,3.88,3.78,2.0,5.99,1.0,Midwives,Healthcare Practitioners and Technical
31-1121.00,Home Health Aides,1.49,3.52,1.76,4.0,3.18,4.21,1.0,6.33,6.0,Home Health Aides,Healthcare Support
31-1122.00,Personal Care Aides,1.8,3.82,2.56,4.0,1.82,3.62,6.0,6.21,1.0,Personal Care Aides,Healthcare Support
31-1131.00,Nursing Assistants,1.0,4.22,1.76,4.0,2.73,4.6,1.0,5.72,6.0,Nursing Assistants,Healthcare Support
31-1132.00,Orderlies,1.0,4.43,1.22,1.0,2.21,5.49,6.0,4.34,4.0,Orderlies,Healthcare Support
31-1133.00,Psychiatric Aides,1.81,3.97,1.84,4.0,4.03,3.63,2.0,6.63,6.0,Psychiatric Aides,Healthcare Support
31-2011.00,Occupational Therapy Assistants,2.14,3.83,1.11,4.0,3.47,3.65,6.0,6.27,1.0,Occupational Therapy Assistants,Healthcare Support
31-2012.00,Occupational Therapy Aides,1.69,3.72,1.82,4.0,2.55,3.91,1.0,6.0,6.0,Occupational Therapy Aides,Healthcare Support
31-2021.00,Physical Therapist Assistants,1.53,3.78,1.35,4.0,3.65,4.46,1.0,6.41,6.0,Physical Therapist Assistants,Healthcare Support
31-2022.00,Physical Therapist Aides,1.09,3.88,2.04,4.0,2.55,4.87,1.0,5.85,6.0,Physical Therapist Aides,Healthcare Support
31-9011.00,Massage Therapists,2.26,2.63,2.07,4.0,3.86,4.77,1.0,5.75,2.0,Massage Therapists,Healthcare Support
31-9091.00,Dental Assistants,1.0,5.46,1.34,6.0,3.55,4.49,1.0,4.35,4.0,Dental Assistants,Healthcare Support
31-9092.00,Medical Assistants,1.0,5.76,1.98,6.0,3.8,4.06,4.0,4.81,1.0,Medical Assistants,Healthcare Support
31-9093.00,Medical Equipment Preparers,1.0,5.53,1.0,1.0,3.42,6.81,6.0,2.27,2.0,Medical Equipment Preparers,Healthcare Support
31-9094.00,Medical Transcriptionists,1.75,6.22,1.22,6.0,3.58,2.46,4.0,3.69,2.0,Medical Transcriptionists,Healthcare Support
31-9095.00,Pharmacy Aides,1.0,6.83,3.87,6.0,1.51,3.63,5.0,3.15,1.0,Pharmacy Aides,Healthcare Support
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,1.0,3.94,1.0,1.0,4.24,6.31,2.0,3.49,6.0,Veterinary Assistants and Laboratory Animal Caretakers,Healthcare Support
31-9097.00,Phlebotomists,1.0,5.43,1.44,1.0,4.54,5.55,6.0,3.69,2.0,Phlebotomists,Healthcare Support
31-9099.01,Speech-Language Pathology Assistants,2.84,4.82,1.53,4.0,4.38,2.26,6.0,5.53,2.0,Speech-Language Pathology Assistants,Healthcare Support
31-9099.02,Endoscopy Technicians,1.0,4.92,1.05,1.0,4.11,6.32,6.0,3.29,2.0,Endoscopy Technicians,Healthcare Support
33-1011.00,First-Line Supervisors of Correctional Officers,1.0,5.01,6.42,5.0,1.81,3.47,6.0,4.58,4.0,First-Line Supervisors of Correctional Officers,Protective Service
33-1012.00,First-Line Supervisors of Police and Detectives,1.1,5.17,7.0,5.0,2.3,3.31,6.0,3.87,4.0,First-Line Supervisors of Police and Detectives,Protective Service
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,1.0,4.67,6.15,5.0,2.25,5.14,1.0,3.72,6.0,First-Line Supervisors of Firefighting and Prevention Workers,Protective Service
33-1091.00,First-Line Supervisors of Security Workers,1.0,5.16,5.9,5.0,1.76,4.16,6.0,3.56,1.0,First-Line Supervisors of Security Workers,Protective Service
33-2011.00,Firefighters,1.3,3.46,3.01,1.0,2.91,6.52,0.0,3.4,0.0,Firefighters,Protective Service
33-2021.00,Fire Inspectors and Investigators,1.03,5.18,3.3,1.0,4.35,5.44,6.0,2.59,2.0,Fire Inspectors and Investigators,Protective Service
33-2022.00,Forest Fire Inspectors and Prevention Specialists,1.19,4.51,3.38,1.0,3.67,6.19,6.0,3.33,0.0,Forest Fire Inspectors and Prevention Specialists,Protective Service
33-3011.00,Bailiffs,1.0,4.88,3.83,1.0,2.13,5.04,6.0,3.01,5.0,Bailiffs,Protective Service
33-3012.00,Correctional Officers and Jailers,1.01,4.7,3.21,1.0,1.71,5.35,6.0,3.89,4.0,Correctional Officers and Jailers,Protective Service
33-3021.00,Detectives and Criminal Investigators,1.2,4.83,4.04,2.0,4.9,4.18,6.0,2.73,1.0,Detectives and Criminal Investigators,Protective Service
33-3021.02,Police Identification and Records Officers,1.55,5.81,3.05,6.0,3.87,4.43,1.0,2.04,2.0,Police Identification and Records Officers,Protective Service
33-3021.06,Intelligence Analysts,2.18,5.51,3.63,2.0,5.88,2.35,6.0,1.91,0.0,Intelligence Analysts,Protective Service
33-3031.00,Fish and Game Wardens,1.0,4.36,3.02,1.0,3.9,6.36,6.0,2.33,2.0,Fish and Game Wardens,Protective Service
33-3041.00,Parking Enforcement Workers,1.0,5.47,3.14,1.0,1.42,6.35,6.0,2.58,0.0,Parking Enforcement Workers,Protective Service
33-3051.00,Police and Sheriff's Patrol Officers,1.07,4.35,4.09,1.0,2.75,5.37,6.0,3.43,5.0,Police and Sheriff's Patrol Officers,Protective Service
33-3051.04,Customs and Border Protection Officers,1.0,5.27,4.32,6.0,2.64,3.41,5.0,2.62,1.0,Customs and Border Protection Officers,Protective Service
33-3052.00,Transit and Railroad Police,1.0,5.06,3.28,1.0,2.42,5.87,6.0,2.55,0.0,Transit and Railroad Police,Protective Service
33-9011.00,Animal Control Workers,1.0,3.85,2.11,1.0,3.58,5.93,6.0,2.59,2.0,Animal Control Workers,Protective Service
33-9021.00,Private Detectives and Investigators,1.48,5.41,4.12,6.0,3.92,2.43,5.0,2.84,2.0,Private Detectives and Investigators,Protective Service
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,1.0,5.64,4.82,6.0,2.16,4.22,5.0,2.17,1.0,Gambling Surveillance Officers and Gambling Investigators,Protective Service
33-9032.00,Security Guards,1.0,4.87,2.95,1.0,2.2,6.2,6.0,2.78,0.0,Security Guards,Protective Service
33-9091.00,Crossing Guards and Flaggers,1.15,3.55,3.03,1.0,1.62,5.86,6.0,3.08,0.0,Crossing Guards and Flaggers,Protective Service
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1.0,3.51,2.86,1.0,2.24,6.38,4.0,4.16,6.0,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Protective Service
33-9093.00,Transportation Security Screeners,1.0,5.67,2.49,6.0,2.21,5.31,1.0,2.16,0.0,Transportation Security Screeners,Protective Service
33-9094.00,School Bus Monitors,1.73,4.72,1.91,4.0,1.54,3.49,6.0,5.25,1.0,School Bus Monitors,Protective Service
33-9099.02,Retail Loss Prevention Specialists,1.0,5.71,4.72,6.0,3.37,3.95,5.0,2.65,1.0,Retail Loss Prevention Specialists,Protective Service
35-1011.00,Chefs and Head Cooks,2.73,4.43,5.16,5.0,1.61,4.87,1.0,2.95,6.0,Chefs and Head Cooks,Food Preparation and Serving Related
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,1.01,5.47,6.35,5.0,1.01,4.16,6.0,3.21,1.0,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving Related
35-2011.00,"Cooks, Fast Food",1.86,4.69,3.45,1.0,1.26,6.12,6.0,2.5,5.0,"Cooks, Fast Food",Food Preparation and Serving Related
35-2012.00,"Cooks, Institution and Cafeteria",1.98,4.41,3.01,1.0,1.89,5.93,6.0,3.06,0.0,"Cooks, Institution and Cafeteria",Food Preparation and Serving Related
35-2013.00,"Cooks, Private Household",3.62,3.73,3.43,1.0,1.39,5.22,6.0,3.65,4.0,"Cooks, Private Household",Food Preparation and Serving Related
35-2014.00,"Cooks, Restaurant",2.45,4.26,3.84,1.0,1.4,5.8,6.0,2.78,5.0,"Cooks, Restaurant",Food Preparation and Serving Related
35-2015.00,"Cooks, Short Order",2.32,4.36,3.53,1.0,1.0,6.11,6.0,3.2,5.0,"Cooks, Short Order",Food Preparation and Serving Related
